,index,protocol,measuredDate,createDate,updateDate,publishDate,organizationId,organizationName,siteId,siteName,countryName,countryCode,latitude,longitude,elevation,pid,mosquitohabitatmapperBreedingGroundEliminated,mosquitohabitatmapperExtraData,mosquitohabitatmapperAbdomenCloseupPhotoUrls,mosquitohabitatmapperMeasuredAt,mosquitohabitatmapperMeasurementElevation,mosquitohabitatmapperUserid,mosquitohabitatmapperLarvaeCount,mosquitohabitatmapperMosquitoEggs,mosquitohabitatmapperMosquitoEggCount,mosquitohabitatmapperGenus,mosquitohabitatmapperWaterSource,mosquitohabitatmapperMosquitoAdults,mosquitohabitatmapperSpecies,mosquitohabitatmapperComments,mosquitohabitatmapperMosquitoPupae,mosquitohabitatmapperWaterSourcePhotoUrls,mosquitohabitatmapperDataSource,mosquitohabitatmapperLarvaFullBodyPhotoUrls,mosquitohabitatmapperMeasurementLatitude,mosquitohabitatmapperLastIdentifyStage,mosquitohabitatmapperWaterSourceType,mosquitohabitatmapperMosquitoHabitatMapperId,mosquitohabitatmapperMeasurementLongitude
1665,4631,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351881,False,,,2018-07-30T08:59:00,0,45325042,,True,,,other,True,,,True,https://data.globe.gov/system/photos/2018/07/30/801758/original.jpg,GLOBE Observer App,,7.8131,identify,container: artificial,3518,99.9438
1666,4632,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351881,True,,,2018-07-30T09:07:00,0,46494665,20,True,,,other,True,,,False,https://data.globe.gov/system/photos/2018/07/30/801763/original.jpg,GLOBE Observer App,,7.8131,identify,container: artificial,3522,99.9438
1667,4633,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351881,True,,,2018-07-30T09:09:00,0,46494665,15,False,,,other,False,,,True,https://data.globe.gov/system/photos/2018/07/30/801764/original.jpg,GLOBE Observer App,,7.8129,identify,container: artificial,3524,99.9439
1668,4634,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351881,True,,,2018-07-30T09:13:00,0,46494665,10,False,,,other,False,,,True,https://data.globe.gov/system/photos/2018/07/30/801765/original.jpg; https://data.globe.gov/system/photos/2018/07/30/801767/original.jpg,GLOBE Observer App,,7.8131,identify,container: artificial,3526,99.9437
1671,4637,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351881,False,,,2018-07-30T09:02:00,0,45325042,,,,,other,,,,,https://data.globe.gov/system/photos/2018/07/30/801760/original.jpg,GLOBE Observer App,,7.8131,,container: artificial,3520,99.9437
1673,4639,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351881,True,,,2018-07-30T08:54:00,0,46489163,30,False,,,other,False,,,True,https://data.globe.gov/system/photos/2018/07/30/801754/original.jpg,GLOBE Observer App,,7.8132,identify,container: artificial,3514,99.9436
1674,4640,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351881,True,,,2018-07-30T09:11:00,0,46494665,10,False,,,other,False,,,True,,GLOBE Observer App,,7.813,identify,container: artificial,3525,99.9438
1675,4641,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351881,True,,,2018-07-30T08:52:00,0,46492607,7,False,,,other,True,,,True,https://data.globe.gov/system/photos/2018/07/30/801751/original.jpg,GLOBE Observer App,,7.8131,identify,container: natural,3511,99.9438
1676,4642,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351881,True,,,2018-07-30T08:55:00,0,46492607,4,False,,,other,True,,,True,https://data.globe.gov/system/photos/2018/07/30/801753/original.jpg,GLOBE Observer App,,7.8131,identify,container: artificial,3513,99.9438
1685,4651,mosquito_habitat_mapper,2018-08-07,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351974,True,,,2018-08-07T08:43:00,0,46494665,,,,,other,,,,,https://data.globe.gov/system/photos/2018/08/07/807396/original.jpg,GLOBE Observer App,,7.8131,identify,container: artificial,3610,99.9437
1686,4652,mosquito_habitat_mapper,2018-08-07,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351974,True,,,2018-08-07T08:47:00,0,46494665,15,False,,,other,True,,,False,https://data.globe.gov/system/photos/2018/08/07/807407/original.jpg; https://data.globe.gov/system/photos/2018/08/07/807408/original.jpg,GLOBE Observer App,,7.8131,identify,container: artificial,3614,99.9437
1687,4653,mosquito_habitat_mapper,2018-08-07,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351974,True,,,2018-08-07T08:59:00,0,46494665,10,False,,,other,True,,,False,https://data.globe.gov/system/photos/2018/08/07/807454/original.jpg,GLOBE Observer App,,7.8129,identify,container: artificial,3618,99.944
1688,4654,mosquito_habitat_mapper,2018-08-07,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351974,True,,,2018-08-07T09:02:00,0,46563690,15,False,,,other,False,,,True,https://data.globe.gov/system/photos/2018/08/07/807456/original.jpg,GLOBE Observer App,,7.8131,identify,container: artificial,3620,99.9437
1689,4655,mosquito_habitat_mapper,2018-08-07,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351974,True,,,2018-08-07T09:02:00,0,46493476,32,False,,,other,False,,,True,https://data.globe.gov/system/photos/2018/08/07/807455/original.jpg,GLOBE Observer App,,7.8132,identify,container: artificial,3619,99.9436
1690,4656,mosquito_habitat_mapper,2018-08-07,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351974,True,,,2018-08-07T09:04:00,0,46493893,4,False,,,other,False,,,True,https://data.globe.gov/system/photos/2018/08/07/807458/original.jpg,GLOBE Observer App,,7.8132,identify,flowing: still water found next to river or stream,3622,99.9436
1692,4658,mosquito_habitat_mapper,2018-08-07,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351974,True,,,2018-08-07T08:52:00,0,46493476,50,False,,,other,True,,,True,https://data.globe.gov/system/photos/2018/08/07/807435/original.jpg,GLOBE Observer App,,7.8132,identify,container: artificial,3615,99.9436
1694,4660,mosquito_habitat_mapper,2018-08-07,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351974,True,,,2018-08-07T08:56:00,0,46493476,25,False,,,other,False,,,True,https://data.globe.gov/system/photos/2018/08/07/807452/original.jpg,GLOBE Observer App,,7.8132,identify,container: artificial,3616,99.9436
1696,4662,mosquito_habitat_mapper,2018-08-07,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351974,True,,,2018-08-07T09:03:00,0,45325042,7,True,,,other,True,,,False,https://data.globe.gov/system/photos/2018/08/07/813366/original.jpg; https://data.globe.gov/system/photos/2018/08/07/813367/original.jpg,GLOBE Observer App,,7.8131,identify-siphon-shape,container: artificial,3760,99.9438
1698,4664,mosquito_habitat_mapper,2018-08-07,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351974,False,,,2018-08-07T08:43:00,0,45325042,,,,,other,,,,,https://data.globe.gov/system/photos/2018/08/07/807398/original.jpg; https://data.globe.gov/system/photos/2018/08/07/807399/original.jpg,GLOBE Observer App,,7.8131,,container: artificial,3612,99.9438
1699,4665,mosquito_habitat_mapper,2018-08-07,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159351974,True,,,2018-08-07T08:54:00,0,46494665,10,False,,,other,True,,,False,https://data.globe.gov/system/photos/2018/08/07/807453/original.jpg,GLOBE Observer App,,7.8131,identify,container: artificial,3617,99.9437
1702,4668,mosquito_habitat_mapper,2018-08-14,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159352096,True,,,2018-08-14T08:07:00,0,46494665,50,False,,,other,True,,,False,https://data.globe.gov/system/photos/2018/08/14/813379/original.jpg,GLOBE Observer App,,7.813,identify,container: artificial,3769,99.9438
1704,4670,mosquito_habitat_mapper,2018-08-14,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,131550,47NPJ040637,,,7.812627,99.943279,25.9,159352096,True,,,2018-08-14T07:40:00,0,46494665,,False,,,other,True,,,False,https://data.globe.gov/system/photos/2018/08/14/813365/original.jpg,GLOBE Observer App,,7.813,identify,container: artificial,3757,99.9436
